q_num,paper,question,gold,generated,error,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1
1,Attention Is All You Need,What problem does the Transformer solve compared to RNNs?,"RNNs are sequential and preclude parallelization during training. The Transformer relies entirely on self-attention, enabling full parallelization.","Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
The Transformer addresses the fundamental constraint of RNNs’ sequential computation, which prevents parallelization within training examples, especially for longer sequences. It avoids recurrence and relies entirely on attention to model global dependencies, allowing significantly more parallelization.

Source: Page 2, Line 8-23",,0.3429,0.0882,0.2571,0.829,0.9208,0.8725
2,Attention Is All You Need,What are the three types of attention used in the Transformer?,"Encoder-decoder attention, encoder self-attention, and decoder self-attention.","Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
The Transformer uses multi-head attention in three ways:
1. Encoder-decoder attention
2. Encoder self-attention
3. Decoder self-attention

Source: Page 5, Line 15-32",,0.383,0.2667,0.383,0.824,0.9168,0.8679
3,Attention Is All You Need,What is the formula for Scaled Dot-Product Attention?,"Attention(Q, K, V) = softmax(QK^T / √dk) · V","Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
Attention(Q, K, V) = softmax(QKᵀ / √dₖ)V

Source: Page 4, Line 16",,0.4375,0.3333,0.4375,0.8289,0.927,0.8752
4,Attention Is All You Need,Why do the authors scale by √dk in the attention formula?,"For large dk the dot products grow large, pushing softmax into regions with extremely small gradients. Dividing by √dk counteracts this.","Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
The authors scale the dot products by \(1/\sqrt{d_k}\) because, for large \(d_k\), the dot products can grow large in magnitude, which pushes the softmax into regions with extremely small gradients. The scaling counteracts this effect.

Source: Page 4, Line 25-30",,0.4737,0.2973,0.4474,0.8224,0.9209,0.8688
5,Attention Is All You Need,How many attention heads do the Transformer models use?,h = 8 parallel attention heads.,"Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
The Transformer models use 8 attention heads.

Source: Page 5, Line 12",,0.2222,0.08,0.2222,0.7946,0.8889,0.8391
6,Attention Is All You Need,What is Multi-Head Attention and why is it used?,It allows the model to jointly attend to information from different representation subspaces at different positions.,"Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
Multi-Head Attention consists of several attention layers, or “heads,” running in parallel. Each head applies attention to projected queries, keys, and values; the outputs of the heads are concatenated and projected to produce the final output.

It is used because it allows the model to jointly attend to information from different representation subspaces at different positions. With a single attention head, averaging inhibits this. In the described work, 8 heads are used, with reduced dimensions per head so the total computational cost is similar to single-head attention with full dimensionality.

Source: Page 4, Line 1-3; Page 5, Line 1-13",,0.2481,0.2362,0.2481,0.8081,0.9481,0.8725
7,Attention Is All You Need,What positional encoding do the authors use?,"Sine and cosine functions of different frequencies, allowing the model to attend by relative positions.","Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
The authors use sinusoidal positional encodings: sine and cosine functions of different frequencies, added to the input embeddings at the bottoms of the encoder and decoder stacks. Specifically:
PE(pos, 2i) = sin(pos / 10000^(2i/dmodel))  
PE(pos, 2i+1) = cos(pos / 10000^(2i/dmodel))

Source: Page 6, Lines 10-24",,0.2632,0.1622,0.2105,0.7773,0.893,0.8311
8,Attention Is All You Need,What BLEU score did the Transformer achieve on WMT 2014 English-to-German?,"28.4 BLEU, outperforming all previously reported models including ensembles.","Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
The Transformer (big) achieved a BLEU score of 28.4 on WMT 2014 English-to-German. The base Transformer model achieved 27.3.

Source: Page 8, Lines 12-13 and 24-28",,0.1923,0.04,0.1154,0.7994,0.8745,0.8353
9,Attention Is All You Need,What BLEU score did the Transformer achieve on WMT 2014 English-to-French?,"41.0 BLEU, a new state of the art at less than 1/4 the training cost of the prior best model.","Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
The Transformer big model achieved a BLEU score of 41.0 on WMT 2014 English-to-French.

Source: Page 8, Line 30",,0.2593,0.0385,0.0741,0.8061,0.854,0.8293
10,Attention Is All You Need,How many encoder and decoder layers does the base Transformer have?,N = 6 identical layers in both encoder and decoder.,"Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
The base Transformer has 6 encoder layers and 6 decoder layers.

Source: Page 3, Line 5 and Line 14",,0.2632,0.0,0.2105,0.8162,0.9086,0.8599
11,Attention Is All You Need,What is d_model in the base Transformer?,dmodel = 512,"Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
d_model is 512.

Source: Page 3, Lines 10-12",,0.0909,0.0,0.0909,0.7815,0.8724,0.8244
12,Attention Is All You Need,What regularization techniques are applied during training?,Residual dropout (Pdrop = 0.1) and label smoothing (ε_ls = 0.1).,"Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
I DO NOT KNOW based on the provided context. The context states that three types of regularization were employed during training, but it does not list or describe those techniques.

Source: Page 7, Line 45",,0.0,0.0,0.0,0.8012,0.8125,0.8068
13,Attention Is All You Need,How long did it take to train the big Transformer?,3.5 days on eight GPUs.,"Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
It took 3.5 days to train the big Transformer on 8 P100 GPUs.

Source: Page 8, Lines 25-28",,0.2778,0.1176,0.2778,0.8078,0.9461,0.8715
14,Attention Is All You Need,What learning rate schedule is used?,"A custom schedule with linear warmup then decay proportional to the inverse square root of the step number, using warmup_steps.","Paper: 1706.03762v7-Attention_is_all_you_need.pdf; 1810.04805v2-BERT_Transformers.pdf

Answer:
For Attention Is All You Need, the learning rate increases linearly for the first 4,000 warmup steps, then decreases proportionally to the inverse square root of the step number, using:
lrate = d_model^-0.5 · min(step_num^-0.5, step_num · warmup_steps^-1.5).

For BERT, the learning rate uses warmup over the first 10,000 steps followed by linear decay.

Source: Page 7, Line 34-43; Page 13, Line 63-68",,0.3063,0.2202,0.2703,0.794,0.8985,0.843
15,Attention Is All You Need,What is the feed-forward network dimension d_ff in the base model?,dff = 2048,"Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
The feed-forward network dimension \(d_{ff}\) in the base model is 2048.

Source: Page 5, Line 47",,0.0667,0.0,0.0667,0.7739,0.8923,0.8289
16,Attention Is All You Need,What task beyond translation is the Transformer tested on?,English constituency parsing.,"Paper: 1706.03762v7-Attention_is_all_you_need.pdf

Answer:
The Transformer is tested on English constituency parsing beyond translation.

Source: Page 9, Line 42-43",,0.2069,0.1481,0.2069,0.785,0.9138,0.8445
